country,revenue
United Kingdom,15986060.337
EIRE,609953.78
Netherlands,548330.7
Germany,411959.161
France,321733.39
Australia,166444.42
Switzerland,99403.06
Spain,91013.44
Sweden,87775.52
Denmark,64459.590000000004
Belgium,63208.89
Portugal,51403.68
Channel Islands,41080.18
Japan,39662.1
Norway,35455.91
Italy,30254.1
Finland,29514.45
Cyprus,24032.56
Austria,23177.6
Greece,18995.49
Hong Kong,13830.5
Singapore,13158.16
Israel,11101.37
Poland,10279.93
United Arab Emirates,9948.65
Unspecified,9678.47
USA,6286.54
Malta,5192.22
Iceland,4921.53
Lithuania,4892.68
Canada,4883.04
RSA,3369.03
Thailand,3070.54
Bahrain,2861.55
Lebanon,1865.91
Brazil,1411.87
European Community,1291.75
Bermuda,1253.1399999999999
Korea,949.82
Czech Republic,707.72
West Indies,536.41
Saudi Arabia,131.17
Nigeria,-6.659999999999996
